Name FN SCAR
ShortName fnscar
//The ammo this gun uses (shortName)
Ammo fnscarAmmo
Icon FNSCAR
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
//Reload time in ticks, 1/20ths of a second
ReloadTime 40
//The amount of gun recoil, all relative : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 3
//Damage in half hearts
Damage 12
//The higher this value, the more the bullets spread
Accuracy 12
//Time in ticks between rounds
ShootDelay 1.9
ShootSound FNSCARShoot
ReloadSound FNSCARReload
Mode FullAuto
//Bullet speed, default 3.0
BulletSpeed 10.0
UsableByMechas false
//Default scope settings. Usually for aiming down sights. In which case, use FOVZoomLevel, not ZoomLevel
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
//Deployable Settings
Deployable False
DeployedModel None
//Model settings
Model jamespostmodernweapons.FNSCAR
Texture FNSCAR
ModelScale 0.18
//Attachment Settings
AllowAllAttachments false
//List here all the attachments allowed on this gun by shortName and separated by spaces
AllowAttachments flanMWSilencer flanMWLongBarrel flanMWRedDot flanMWACOG flanMWHCOG flanMW4xScope flanMW2xScope flanMW8xScope flanMWForegrip flanMWUnderBarrelLaser flanMWFlashlight flanMWSingleFire flanMWBurstFire flanMWAutoFire flanMWanvilreceiver flanMWmuzzlebreak  flanMWCharmjamesk2417sight flanMWCharmjthmonkeysight 
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments false
AllowGripAttachments true
NumGenericAttachmentSlots 1
Description GPLG - General Purpose Long Gun :

ShowAccuracy true
ShowReloadTime true
ShowDamage true
ShowRecoil true
DistortSound True
CanShootUnderwater False
SwitchDelay 50
